REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
Eastern,7,Laghman,704,Alingar,07-07-22,Flood / flash flood,0,0,6,63,6,0
Eastern,7,Laghman,704,Alingar,07-07-22,Flood / flash flood,0,0,4,32,10,0
Southern,24,Zabul,2409,Atghar,07-07-22,Flood / flash flood,0,0,33,352,26,7
Southern,24,Zabul,2408,Daychopan,07-07-22,Flood / flash flood,11,0,11,107,11,0
Southern,24,Zabul,2410,Shomulzay,07-07-22,Flood / flash flood,1,0,57,508,51,6
Southern,24,Zabul,2405,Shinkay,07-07-22,Flood / flash flood,0,0,9,80,9,0
South Eastern,25,Paktika,2502,Matakhan,07-07-22,Flood / flash flood,0,0,7,46,7,0
Eastern,7,Laghman,701,Mehtarlam,07-07-22,Flood / flash flood,0,0,29,302,29,0
Southern,24,Zabul,2401,Qalat,07-07-22,Flood / flash flood,0,0,20,190,16,4
Southern,33,Kandahar,3306,Shahwalikot,08-07-22,Flood / flash flood,16,2,24,254,21,0
Southern,23,Uruzgan,2305,Khasuruzgan,08-07-22,Flood / flash flood,0,4,11,94,11,0
Central Highland,22,Daykundi,2205,Gizab,08-07-22,Flood / flash flood,6,0,36,336,0,0
Southern,33,Kandahar,3313,Miyanshin,08-07-22,Flood / flash flood,0,0,23,191,23,0
Southern,33,Kandahar,3316,Maruf,08-07-22,Flood / flash flood,5,14,5,62,3,2
Southern,23,Uruzgan,2302,Chora,08-07-22,Flood / flash flood,0,0,91,856,88,3
Southern,33,Kandahar,3312,Arghestan,08-07-22,Flood / flash flood,0,0,30,287,28,2
South Eastern,25,Paktika,2510,Urgun,09-07-22,Flood / flash flood,0,0,16,84,16,0
South Eastern,25,Paktika,2501,Sharan,09-07-22,Flood / flash flood,0,0,9,63,0,0
South Eastern,11,Ghazni,1112,Nawur,10-07-22,Flood / flash flood,0,0,23,171,23,0
South Eastern,12,Paktya,1203,Ahmadaba,10-07-22,Flood / flash flood,0,0,12,90,12,0
South Eastern,12,Paktya,1204,Zurmat,10-07-22,Flood / flash flood,0,0,23,161,20,3
South Eastern,12,Paktya,1201,Gardez,10-07-22,Flood / flash flood,0,2,82,635,51,31
South Eastern,11,Ghazni,1118,Gelan,10-07-22,Flood / flash flood,0,0,2,16,2,0
