# signal_id,signal_original_x,signal_original_y,signal_fano_y,peak_xcoord,peak_ycoord,w,A,y0,xc,q,b_field
8.100000000000000000e+01,4.199416700000000000e+09,-5.110784388137629836e-04,-6.994587638769683225e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199429700000000000e+09,-5.117691087668575257e-04,-6.997040701354584162e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199442700000000000e+09,-5.124465215930631805e-04,-6.999499948704863972e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199455700000000000e+09,-5.131102470029486919e-04,-7.001965397137250354e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199468700000000000e+09,-5.137598825199463613e-04,-7.004437062941507985e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199481700000000000e+09,-5.143950545232326733e-04,-7.006914962378692950e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199494700000000000e+09,-5.150154190594335990e-04,-7.009399111679369236e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199507800000000000e+09,-5.156206624118983908e-04,-7.011908708410606941e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199520800000000000e+09,-5.162105014203965427e-04,-7.014405454386203826e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199533800000000000e+09,-5.167846835486896058e-04,-7.016908498839523160e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199546800000000000e+09,-5.173429867021731542e-04,-7.019417857860236858e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199559800000000000e+09,-5.178852188027832301e-04,-7.021933547498002181e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199572800000000000e+09,-5.184112171334083474e-04,-7.024455583760429948e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199585800000000000e+09,-5.189208474687392533e-04,-7.026983982611022380e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199598800000000000e+09,-5.194140030138692625e-04,-7.029518759967054572e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199611800000000000e+09,-5.198906031761148065e-04,-7.032059931697423431e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199624800000000000e+09,-5.203505921984406118e-04,-7.034607513620443498e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199637800000000000e+09,-5.207939376859239966e-04,-7.037161521501598309e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
